Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,,silicon-power 4GB,501,6.14,31,http://usb.userbenchmark.com/SpeedTest/6042/silicon-power
USB,,Kingston,DT 100 G2 16GB,502,6.13,330,http://usb.userbenchmark.com/SpeedTest/2628/Kingston-DT-100-G2
USB,,hp,v165w 32GB,503,6.13,107,http://usb.userbenchmark.com/SpeedTest/6507/hp-v165w
USB,,Kingston,DT microDuo 64GB,504,6.12,26,http://usb.userbenchmark.com/SpeedTest/8565/Kingston-DT-microDuo
USB,,Intenso,Rainbow Line 32GB,505,6.11,33,http://usb.userbenchmark.com/SpeedTest/8760/Intenso-Rainbow-Line
USB,,,,506,6.09,44,http://usb.userbenchmark.com/SpeedTest/10865/
USB,,hp,v125w 8GB,507,6.08,121,http://usb.userbenchmark.com/SpeedTest/6352/hp-v125w
USB,,TDK,LoR TF10 16GB,508,6.08,79,http://usb.userbenchmark.com/SpeedTest/2836/TDK-LoR-TF10
USB,,Verbatim,micro USB 2GB,509,6.07,3,http://usb.userbenchmark.com/SpeedTest/4441/Verbatim-micro-USB
USB,,Lexar,USB Flash Drive 64GB,510,6.07,57,http://usb.userbenchmark.com/SpeedTest/4993/Lexar-USB-Flash-Drive
USB,,SanDisk,U3 Cruzer Micro 2GB,511,6.06,267,http://usb.userbenchmark.com/SpeedTest/1185/SanDisk-U3-Cruzer-Micro
USB,,Corsair,Flash Voyager 1GB,512,6.04,9,http://usb.userbenchmark.com/SpeedTest/4389/Corsair-Flash-Voyager
USB,,Verbatim,STORE N GO 32GB,513,5.98,372,http://usb.userbenchmark.com/SpeedTest/6091/Verbatim-STORE-N-GO
USB,,TOSHIBA,TransMemory 8GB,514,5.97,1907,http://usb.userbenchmark.com/SpeedTest/1336/TOSHIBA-TransMemory
USB,,Freecom,DataBar USB2.0 8GB,515,5.96,17,http://usb.userbenchmark.com/SpeedTest/5402/Freecom-DataBar-USB20
USB,,TDKMedia,Trans-It Drive 16GB,516,5.95,11,http://usb.userbenchmark.com/SpeedTest/2772/TDKMedia-Trans-It-Drive
USB,,hp,v210w 16GB,517,5.94,134,http://usb.userbenchmark.com/SpeedTest/3358/hp-v210w
USB,,,Verbatim 32GB,518,5.9,8,http://usb.userbenchmark.com/SpeedTest/5212/Verbatim
USB,,hp,v220w 16GB,519,5.9,171,http://usb.userbenchmark.com/SpeedTest/2479/hp-v220w
USB,,,Verbatim 32GB,520,5.88,107,http://usb.userbenchmark.com/SpeedTest/3113/Verbatim
USB,,TDKMedia,Trans-It Drive 8GB,521,5.86,116,http://usb.userbenchmark.com/SpeedTest/1784/TDKMedia-Trans-It-Drive
USB,,Kingmax,USB2.0 FlashDisk 32GB,522,5.86,36,http://usb.userbenchmark.com/SpeedTest/1856/Kingmax-USB20-FlashDisk
USB,,Verbatim,Store n Go Drive 4GB,523,5.84,47,http://usb.userbenchmark.com/SpeedTest/5900/Verbatim-Store-n-Go-Drive
USB,,Lexar,JD FireFly 16GB,524,5.83,29,http://usb.userbenchmark.com/SpeedTest/5219/Lexar-JD-FireFly
USB,DT101G2/64GB,Kingston,DataTraveler 101 G2 USB 2.0 64GB,525,5.8,17,http://usb.userbenchmark.com/SpeedTest/12698/Kingston-DT-101-G2
USB,,FLASH,Drive SM_USB20 8GB,526,5.8,48,http://usb.userbenchmark.com/SpeedTest/2194/FLASH-Drive-SM-USB20
USB,AC906-16G-RWH,Adata,Classic C906 USB 2.0 16GB,527,5.77,204,http://usb.userbenchmark.com/SpeedTest/2098/ADATA-USB-Flash-Drive
USB,,PNY,USB 2.0 FD 4GB,528,5.76,9,http://usb.userbenchmark.com/SpeedTest/6827/PNY-USB-20-FD
USB,,TDKMedia,Trans-It Drive 4GB,529,5.75,69,http://usb.userbenchmark.com/SpeedTest/5855/TDKMedia-Trans-It-Drive
USB,,Imation,Nano Pro 4GB,530,5.68,45,http://usb.userbenchmark.com/SpeedTest/5707/Imation-Nano-Pro
USB,,Kingston,DT Micro 16GB,531,5.65,115,http://usb.userbenchmark.com/SpeedTest/5683/Kingston-DT-Micro
USB,,USB,FLASH DRIVE 2GB,532,5.65,81,http://usb.userbenchmark.com/SpeedTest/1966/USB-FLASH-DRIVE
USB,,MUSHKIN,MKNUFDPR8GB 8GB,533,5.65,3,http://usb.userbenchmark.com/SpeedTest/2274/MUSHKIN-MKNUFDPR8GB
USB,,Kingston,DT 101 G2 16GB,534,5.64,415,http://usb.userbenchmark.com/SpeedTest/2015/Kingston-DT-101-G2
USB,,JetFlash,Transcend 4GB,535,5.62,839,http://usb.userbenchmark.com/SpeedTest/1401/JetFlash-Transcend-4GB
USB,,Kingston,DT 101 II 4GB,536,5.6,65,http://usb.userbenchmark.com/SpeedTest/9376/Kingston-DT-101-II
USB,,hp,v195b 8GB,537,5.57,13,http://usb.userbenchmark.com/SpeedTest/4894/hp-v195b
USB,,,,538,5.56,104,http://usb.userbenchmark.com/SpeedTest/6298/
USB,,SanDisk,U3 Titanium 2GB,539,5.55,44,http://usb.userbenchmark.com/SpeedTest/5939/SanDisk-U3-Titanium
USB,,Kingston,DT 101 II 8GB,540,5.54,199,http://usb.userbenchmark.com/SpeedTest/2808/Kingston-DT-101-II
USB,,hp,v220w 8GB,541,5.53,118,http://usb.userbenchmark.com/SpeedTest/1543/hp-v220w
USB,,JetFlash,TS8GJFV30 8GB,542,5.53,11,http://usb.userbenchmark.com/SpeedTest/9327/JetFlash-TS8GJFV30
USB,,Kingston,DT 100 G2 8GB,543,5.5,417,http://usb.userbenchmark.com/SpeedTest/1420/Kingston-DT-100-G2
USB,,HP,v125w 4GB,544,5.5,120,http://usb.userbenchmark.com/SpeedTest/1613/HP-v125w
USB,,Kingmax,USB2.0 FlashDisk 8GB,545,5.48,74,http://usb.userbenchmark.com/SpeedTest/3696/Kingmax-USB20-FlashDisk
USB,,Kingston,DT101 II 8GB,546,5.48,33,http://usb.userbenchmark.com/SpeedTest/3930/Kingston-DT101-II
USB,,hp,v165w 8GB,547,5.48,293,http://usb.userbenchmark.com/SpeedTest/1981/hp-v165w
USB,,takeMS,colorline 16GB,548,5.46,8,http://usb.userbenchmark.com/SpeedTest/4827/takeMS-colorline
USB,,FLASH,Drive SM_USB20 4GB,549,5.45,84,http://usb.userbenchmark.com/SpeedTest/10702/FLASH-Drive-SM-USB20
USB,DT101G2/2GB,Kingston,DataTraveler 101 G2 USB 2.0 2GB,550,5.45,26,http://usb.userbenchmark.com/SpeedTest/15272/Kingston-DT-101-G2
USB,,PNY,USB 2.0 FD 4GB,551,5.45,26,http://usb.userbenchmark.com/SpeedTest/10550/PNY-USB-20-FD
USB,,JetFlash,Transcend 2GB,552,5.45,153,http://usb.userbenchmark.com/SpeedTest/11512/JetFlash-Transcend-2GB
USB,DTSE9H/16GB,Kingston,DataTraveler SE9 USB 2.0 16GB,553,5.45,476,http://usb.userbenchmark.com/Kingston-DataTraveler-SE9-USB-20-16GB/Rating/1402
USB,,Cisco,AM10 0GB,554,5.44,15,http://usb.userbenchmark.com/SpeedTest/10577/Cisco-AM10
USB,,Kingston,DataTraveler 108 8GB,555,5.43,50,http://usb.userbenchmark.com/SpeedTest/2102/Kingston-DataTraveler-108
USB,,Verbatim,STORE N GO 16GB,556,5.43,17,http://usb.userbenchmark.com/SpeedTest/11864/Verbatim-STORE-N-GO
USB,,Kingston,DataTraveler G2 8GB,557,5.4,167,http://usb.userbenchmark.com/SpeedTest/2097/Kingston-DataTraveler-G2
USB,,Kingston,DT 101 G2 16GB,558,5.39,74,http://usb.userbenchmark.com/SpeedTest/11315/Kingston-DT-101-G2
USB,,Kingston,DT 100 G2 4GB,559,5.38,132,http://usb.userbenchmark.com/SpeedTest/5494/Kingston-DT-100-G2
USB,DT101G2/8GB,Kingston,DataTraveler 101 G2 USB 2.0 8GB,560,5.36,688,http://usb.userbenchmark.com/SpeedTest/1682/Kingston-DT-101-G2
USB,,Kingston,DT 100 G2 4GB,561,5.36,52,http://usb.userbenchmark.com/SpeedTest/7178/Kingston-DT-100-G2
USB,,Sony,Storage Media 2GB,562,5.35,92,http://usb.userbenchmark.com/SpeedTest/2461/Sony-Storage-Media
USB,,hp,v250w 8GB,563,5.33,39,http://usb.userbenchmark.com/SpeedTest/3253/hp-v250w
USB,,Flash,Drive AU_USB20 2GB,564,5.32,19,http://usb.userbenchmark.com/SpeedTest/3746/Flash-Drive-AU-USB20
USB,AC008-16G-RKD,Adata,Classic C008 USB 2.0 16GB,565,5.3,314,http://usb.userbenchmark.com/SpeedTest/3888/ADATA-USB-Flash-Drive
USB,,Kingston,DT 101 G2 8GB,566,5.29,507,http://usb.userbenchmark.com/SpeedTest/1472/Kingston-DT-101-G2
USB,,Verbatim,STORE N GO 16GB,567,5.28,76,http://usb.userbenchmark.com/SpeedTest/2096/Verbatim-STORE-N-GO
USB,,Verbatim,STORE N GO 16GB,568,5.28,781,http://usb.userbenchmark.com/SpeedTest/2709/Verbatim-STORE-N-GO
USB,,TOSHIBA,TransMemory 4GB,569,5.27,274,http://usb.userbenchmark.com/SpeedTest/3442/TOSHIBA-TransMemory
USB,,Kingston,DT 101 G2 64GB,570,5.25,42,http://usb.userbenchmark.com/SpeedTest/6132/Kingston-DT-101-G2
