Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,A8-6600K APU,320,45.4,4473,http://cpu.userbenchmark.com/SpeedTest/3344/AMD-A8-6600K-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i3-2120,321,45.4,10713,http://cpu.userbenchmark.com/SpeedTest/2227/IntelR-CoreTM-i3-2120-CPU---330GHz
CPU,,Intel,Core i5-3340M,322,45.4,1753,http://cpu.userbenchmark.com/SpeedTest/1915/IntelR-CoreTM-i5-3340M-CPU---270GHz
CPU,,Intel,Core i5-3360M,323,45.4,1081,http://cpu.userbenchmark.com/SpeedTest/701/IntelR-CoreTM-i5-3360M-CPU---280GHz
CPU,,AMD,Athlon II X4 760K,324,45.4,1342,http://cpu.userbenchmark.com/SpeedTest/9072/AMD-Athlontm-X4-760K-Quad-Core-Processor
CPU,,Intel,Core i7-4558U,325,45.3,236,http://cpu.userbenchmark.com/SpeedTest/4092/IntelR-CoreTM-i7-4558U-CPU---280GHz
CPU,,AMD,Phenom II X4 B65,326,45.1,66,http://cpu.userbenchmark.com/SpeedTest/6054/AMD-Phenomtm-II-X4-B65-Processor
CPU,,Intel,Core i7-2670QM,327,45,12568,http://cpu.userbenchmark.com/Intel-Core-i7-2670QM/Rating/1982
CPU,AD786KYBJCSBX,AMD,A10-7860K APU,328,45,2415,http://cpu.userbenchmark.com/SpeedTest/83781/AMD-A10-7860K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,HDZ965FBGMBOX,AMD,Phenom II X4 965,329,44.9,14671,http://cpu.userbenchmark.com/AMD-Phenom-II-X4-965/Rating/606
CPU,AD580KWOHJBOX,AMD,A10-5800K APU,330,44.8,4599,http://cpu.userbenchmark.com/AMD-A10-5800K-APU/Rating/2007
CPU,,Intel,Xeon X3430,331,44.8,454,http://cpu.userbenchmark.com/SpeedTest/5225/IntelR-XeonR-CPU-----------X3430----240GHz
CPU,,AMD,FX-6120 Six-Core,332,44.7,424,http://cpu.userbenchmark.com/SpeedTest/7026/AMD-FXtm-6120-Six-Core-Processor
CPU,,AMD,Phenom II X6 1075T,333,44.7,1013,http://cpu.userbenchmark.com/SpeedTest/913/AMD-Phenomtm-II-X6-1075T-Processor
CPU,,Intel,Xeon E5-2620 0,334,44.4,277,http://cpu.userbenchmark.com/SpeedTest/5895/IntelR-XeonR-CPU-E5-2620-0---200GHz
CPU,,Intel,Core i3-4130T,335,44.2,862,http://cpu.userbenchmark.com/SpeedTest/13080/IntelR-CoreTM-i3-4130T-CPU---290GHz
