Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Hitachi,HDS721050CLA662 500GB,164,62.4,1830,http://hdd.userbenchmark.com/SpeedTest/1785/Hitachi-HDS721050CLA662
HDD,ST8000AS0002,Seagate,Archive HDD 8TB (2015),165,62.4,286,http://hdd.userbenchmark.com/SpeedTest/30791/ST8000AS0002-1NA17Z
HDD,,Samsung,HD253GJ 250GB,166,62.2,693,http://hdd.userbenchmark.com/SpeedTest/3770/SAMSUNG-HD253GJ
HDD,,Hitachi,HDS723015BLA642 1.5TB,167,62.1,714,http://hdd.userbenchmark.com/SpeedTest/1237/Hitachi-HDS723015BLA642
HDD,,Hitachi,HDS721010CLA330 1TB,168,62.1,1613,http://hdd.userbenchmark.com/SpeedTest/2095/Hitachi-HDS721010CLA330
HDD,,WD,WD1001FAES-60Z2A0 1TB,169,62,1708,http://hdd.userbenchmark.com/SpeedTest/3129/WDC-WD1001FAES-60Z2A0
HDD,,WD,WD6402AAEX-00Z3A0 640GB,170,62,1548,http://hdd.userbenchmark.com/SpeedTest/1783/WDC-WD6402AAEX-00Z3A0
HDD,,WD,WD7502AAEX-00Y9A0 750GB,171,61.8,1022,http://hdd.userbenchmark.com/SpeedTest/1200/WDC-WD7502AAEX-00Y9A0
HDD,,Seagate,ST31000524NS 1TB,172,61.8,570,http://hdd.userbenchmark.com/SpeedTest/9641/ST31000524NS
HDD,,Hitachi,HCS5C2020ALA632 2TB,173,61.7,119,http://hdd.userbenchmark.com/SpeedTest/1904/Hitachi-HCS5C2020ALA632
HDD,,Hitachi,HTS721010A9 1TB,174,61.5,141,http://hdd.userbenchmark.com/SpeedTest/4115/HGST-HTS721010A9
HDD,,Hitachi,HDS721075CLA332 750GB,175,61.4,603,http://hdd.userbenchmark.com/SpeedTest/5587/Hitachi-HDS721075CLA332
HDD,,Samsung,HD254GJ 250GB,176,61.3,213,http://hdd.userbenchmark.com/SpeedTest/10095/SAMSUNG-HD254GJ
HDD,,WD,WD1001FALS-41Y6A1 1TB,177,61.2,114,http://hdd.userbenchmark.com/SpeedTest/4052/WDC-WD1001FALS-41Y6A1
HDD,,Hitachi,HDS721050CLA660 500GB,178,61,1792,http://hdd.userbenchmark.com/SpeedTest/289/Hitachi-HDS721050CLA660
HDD,HDS721010CLA332,Hitachi,Deskstar 7K1000.C 1TB,179,61,16243,http://hdd.userbenchmark.com/SpeedTest/1129/Hitachi-HDS721010CLA332
HDD,,Hitachi,HTS721010A9E6300 1TB,180,60.9,669,http://hdd.userbenchmark.com/SpeedTest/11219/HGST-HTS721010A9E6300
HDD,,Hitachi,HDS721050CLA360 500GB,181,60.7,2241,http://hdd.userbenchmark.com/SpeedTest/3631/Hitachi-HDS721050CLA360
HDD,,WD,WD7500AALX-009BA0 750GB,182,60.7,476,http://hdd.userbenchmark.com/SpeedTest/5152/WDC-WD7500AALX-009BA0
HDD,,WD,WD740HLFS-01G6U0 74GB,183,60.5,103,http://hdd.userbenchmark.com/SpeedTest/2768/WDC-WD740HLFS-01G6U0
HDD,WD1002FAEX,WD,Black 1TB (2010),184,60.4,56060,http://hdd.userbenchmark.com/WD-Black-1TB-2010/Rating/1580
HDD,,Hitachi,HDS72105 500GB,185,60.4,178,http://hdd.userbenchmark.com/SpeedTest/7340/Hitachi-HDS72105
HDD,,WD,WD30EURS-63SPKY0 3TB,186,60.2,495,http://hdd.userbenchmark.com/SpeedTest/1387/WDC-WD30EURS-63SPKY0
HDD,WD5000AZRX,WD,Green 500GB (2012),187,60,5691,http://hdd.userbenchmark.com/SpeedTest/2487/WDC-WD5000AZRX-00A8LB0
HDD,,Toshiba,MQ01ACF050 500GB,188,59.9,2113,http://hdd.userbenchmark.com/SpeedTest/7527/TOSHIBA-MQ01ACF050
