Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,35,157,226,http://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,,Toshiba,THNSN5128GPU7 TO NVMe PCIe M.2 128GB,36,156,639,http://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,,Apple,SM0256G PCIe 251GB,37,150,444,http://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,38,148,16,http://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,,Intel,Optane+ NVMe PCIe 128GB,39,145,4,http://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,40,141,586,http://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G
SSD,SSDPEKKW512G7X1,Intel,600p Series NVMe PCIe M.2 512GB,41,141,3213,http://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7
SSD,PX-AG256M6e,Plextor,M6e PCIe 256GB,42,140,249,http://ssd.userbenchmark.com/SpeedTest/7265/PLEXTOR-PX-AG256M6e
SSD,SSDPEKKW256G7X1,Intel,600p Series NVMe PCIe M.2 256GB,43,131,5884,http://ssd.userbenchmark.com/SpeedTest/169054/INTEL-SSDPEKKW256G7
SSD,SHPM2280P2/240G,Kingston,HyperX Predator AHCI PCIe M.2 240GB,44,129,2327,http://ssd.userbenchmark.com/SpeedTest/26065/Kingston-SHPM2280P2240G
SSD,MKNP44SC480GB,Mushkin,Scorpion Deluxe PCIe 480GB,45,128,32,http://ssd.userbenchmark.com/SpeedTest/11924/Mushkin-Scorpion-Deluxe
SSD,MZHPU256HCGL,Samsung,XP941 PCIe M.2 256GB,46,125,926,http://ssd.userbenchmark.com/SpeedTest/4625/SAMSUNG-MZHPU256HCGL-00000
SSD,,Samsung,MZFLV512 NVMe PCIe M.2 512GB,47,125,637,http://ssd.userbenchmark.com/SpeedTest/36829/NVMe-SAMSUNG-MZFLV512
SSD,WDS512G1X0C,WD,Black NVMe PCIe M.2 512GB,48,120,604,http://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0
SSD,MZHPU512HCGL,Samsung,XP941 PCIe M.2 512GB,49,118,370,http://ssd.userbenchmark.com/SpeedTest/4874/SAMSUNG-MZHPU512HCGL-00000
SSD,MKNP44SC240GB,Mushkin,Scorpion Deluxe PCIe 240GB,50,117,36,http://ssd.userbenchmark.com/SpeedTest/18266/Mushkin-Scorpion-Deluxe
SSD,WDS256G1X0C,WD,Black NVMe PCIe M.2 256GB,51,116,879,http://ssd.userbenchmark.com/SpeedTest/237667/WDC-WDS256G1X0C-00ENX0
